Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2024-08-01,XYL,132.60533142089844,133.3300018310547,134.74000549316406,131.67999267578125,133.02000427246094,1591700.0
2024-08-02,XYL,129.44261169433594,130.14999389648438,132.35000610351562,128.85000610351562,131.1300048828125,1557100.0
2024-08-05,XYL,125.45440673828124,126.13999938964844,128.5399932861328,125.01000213623048,127.06999969482422,1590000.0
2024-08-06,XYL,126.69761657714844,127.38999938964844,129.41000366210938,126.1500015258789,126.8000030517578,1246200.0
2024-08-07,XYL,126.14065551757812,126.83000183105467,130.85000610351562,126.6999969482422,129.0800018310547,1121300.0
2024-08-08,XYL,127.63250732421876,128.3300018310547,128.42999267578125,126.1500015258789,128.05999755859375,1020200.0
2024-08-09,XYL,127.8910903930664,128.58999633789062,128.82000732421875,126.6999969482422,128.1699981689453,909800.0
2024-08-12,XYL,126.80702209472656,127.5,128.97999572753906,126.80999755859376,128.47000122070312,813900.0
2024-08-13,XYL,130.994140625,131.7100067138672,131.77999877929688,128.5,129.0,1637800.0
2024-08-14,XYL,130.77532958984375,131.49000549316406,132.22999572753906,130.5800018310547,131.72000122070312,813400.0
2024-08-15,XYL,132.46609497070312,133.19000244140625,134.27000427246094,131.77999877929688,132.9499969482422,739000.0
2024-08-16,XYL,132.07821655273438,132.8000030517578,133.6300048828125,131.97000122070312,133.0,1956500.0
2024-08-19,XYL,133.64962768554688,134.3800048828125,134.3800048828125,132.5800018310547,133.0399932861328,751200.0
2024-08-20,XYL,133.42086791992188,134.14999389648438,135.60000610351562,133.1999969482422,134.39999389648438,772300.0
2024-08-21,XYL,135.06192016601562,135.8000030517578,135.9600067138672,134.1699981689453,134.60000610351562,1932300.0
2024-08-22,XYL,134.68397521972656,135.4199981689453,137.0399932861328,135.10000610351562,136.0,898400.0
2024-08-23,XYL,136.17581176757812,136.9199981689453,137.52999877929688,135.5399932861328,136.39999389648438,693100.0
2024-08-26,XYL,135.50946044921875,136.25,138.47000122070312,135.92999267578125,137.25,808500.0
2024-08-27,XYL,134.68397521972656,135.4199981689453,136.44000244140625,134.9499969482422,135.55999755859375,1459700.0
2024-08-28,XYL,135.08180236816406,135.82000732421875,136.6300048828125,135.3300018310547,135.77000427246094,923400.0
2024-08-29,XYL,135.39093017578125,135.77000427246094,137.72000122070312,135.49000549316406,136.1999969482422,713500.0
2024-08-30,XYL,137.14601135253906,137.52999877929688,137.83999633789062,135.3000030517578,136.05999755859375,1263100.0
2024-09-03,XYL,130.34506225585938,130.7100067138672,136.0,130.30999755859375,134.1300048828125,2334700.0
2024-09-04,XYL,128.72958374023438,129.08999633789062,131.47999572753906,128.17999267578125,129.61000061035156,1744400.0
2024-09-05,XYL,127.67253875732422,128.02999877929688,129.0399932861328,126.63999938964844,129.0399932861328,1108600.0
2024-09-06,XYL,126.3562240600586,126.70999908447266,129.82000732421875,126.58000183105467,128.13999938964844,1348200.0
2024-09-09,XYL,128.94895935058594,129.30999755859375,129.8000030517578,127.0,127.6500015258789,1072800.0
2024-09-10,XYL,129.45755004882812,129.82000732421875,130.02999877929688,128.61000061035156,129.5,797200.0
2024-09-11,XYL,129.5074005126953,129.8699951171875,130.11000061035156,126.44000244140624,129.72999572753906,1003100.0
